id,name,text,summary,score
3074,davegt29,I would totally recommend this wormer to any one who has a cat that has tape worms.  I will purchase again if needed.,Great Product,5
3075,Michael Cummings,My airedale puppy absolutely had a blast with these N-Bone Teething Rings.  I would not buy them fast enough.  He would throw them all over the place and then relax and munch down.  Thanks for getting my puppy through a tough patch... :-),Puppy Teething Rings,5
3076,"""CatSttl \""CoffeeAfficianado\""""","Purchased a couple of warm weather items, this has a nice fleece lining and is easy to get on and off. Runs a little large. 5lb Yorkie is wearing an x-small but it's a nice fit. The hardest part about purchasing dog wear is that there isn't a sizing chart! Really helps when the seller lists the measurements of the garments. Nice large holes for the front legs, mean easy on and off = happy dog.",Well Made Dog Wear,5
3077,pokerlady,I bought these to go with the Pedipaws unit that I also fell for. Don't bother!! Neither of my dogs will let me near them as soon as I turn it on!!!!  Couldn't even sell it at my garage sale!,Useless!!!,1
3078,mosaicmuse,very effective and easy to use with this fountain.  I highly recommend purchasing extras - Keeping the filter clean is no longer an issue.,great filters,5
3079,Cabushka,"My doggie looks miserable in this coat, but it is good protection from the awful winter weather we've had in the northeast.  It's well made and easy on and off.  The nylon shell repels snow and rain while the inner blanket adds warmth.  The large size fits my 55 lb lab mix very well.",I like it more than my dog!,4
3080,DK,"The Wolf-sized Puppy Ring Bone was a great choice for our lab puppy from age 2 - 8 months.  She was not a Strong Chewer until after 8 months and worked hard with her new teeth without getting large chunks off.  Now the center section is all that is left (9 months) and she just gnaws gently.Note when you order that the bones are listed in the order of - Small, Wolf, Large - when the Wolf size is the largest!  We ordered the wrong size once because of this S-L-M ordering.",Kept the puppy busy for months,5
3081,"""COUNTRY GIRL \""Linda\""""",I have been supplementing my 2 IGs dinner with salmon oil to counteract their dry skinproblem.  They love the taste and have beautiful shiny coats as well as less dry skin.The applicator is nice too and the price was excellent.,life line wild salmon oil,5
3082,"""M. Kauffman \""loving life\""""","These are very well made. The bell housebreaking system did not work for us, but no fault of the bells. Our dog was just so gentle and would barely brush the bells so we couldn't hear them.",Well made quality product.,4
3083,Katwilm,"This is a great bath wipe for cats, in fact I'm tempted to use it myself sometimes it smells so good.  I've never tried anything that made their fur feel so soft and smell so good.  They're not too fond of getting wiped down, but they're mighty happy with their fur when it's done.",A Great Product,5
3084,Pooch Mania,"My dog peed on the carpet and he keep going back to the same area to do it again. I use OMG and left it there little while before I vacuum. He doesn't go there again. I tried to find the spot by smell the carpet myself, but couldn't find it.  I will order it again when it runs out.",works!,5
3085,cbruno,I don't love it or hate it. It works but it feels as if you're twisting foreverrrrrrrrr. I wouldn't purchase it again.,eh,3
3086,grtgrn,"My Chihuahua tries to eat my Doberman's food. It is just too big for her and she tends to choke like she is coughing up a fur ball like a cat! I got this because of other reviews. My dog loves this food and the size is great. She till tries to eat the other food, but coaxing her back to her food is easy. I am really please with this food.",Dog Food,5
3087,Tokyo Sandblaster,"""Just got this and realised it's made of hard, brittle plastic. For some reason I expected it to be a \""Kong-style\"" hard rubber...my mistake. I was a bit surprised since not many manufacturers have the sense not to make dog toys out of materials that could hurt the animal. Anyway...about 10 seconds after giving it to my dogs and at the first bite of the toy and I hear a cracking noise. The uneven seam where the two halves are glued together is splitting. Will be returning this.""",Hard plastic...dangerous,2
3088,GA buyer,"Of all we bought recently, they liked these crunchy chicken ones about the best. They seemed to get a lot of chewing enjoyment out of these.",One of the dogs favorites,5
3089,Scope,"These are perfect for stuffing toys, like kongs and other types with smaller holes.I put round and square ones into my Aussie's large regularly shaped kong, and the biscuit-looking ones into my rat terrier's stuffable chew toys. She doesn't get the regularly shaped kong, because her jaw is smaller than the kong's opening, so she fishes the cookies out very easily. She gets other toys (from Petsmart) which are very tough as well, but have smaller openings, like KONG Stuff-A-Ball. It takes her over 20 minutes to get them out.  These cookies are much harder than regular biscuits. It takes her 5 minutes to get the regular biscuits and snaps out of any toy.my rat terrier is a very powerful chewer...",Perfect for stuffing them into kongs and other toys!,5
3090,Sarah,"These extra links fit my Herm Sprenger collar perfectly. I bought two packs, and I was glad I did. I had measured my dog's neck when he was standing nicely, so I actually needed to had a couple to increase the length when when I found his neck circumference increased when he was actually moving around.",Perfect,5
3091,Amazon Customer,"I bought these for my two older dogs because their teeth aren't so good any more, and these are a bit softer than the biscuits they used to get. They break really easily if I just squeeze them, so I know they must be easy for them to chew. They really enjoy them too, so they must be tasty as well!",Dogs really enjoy them,5
3092,A. Rose,"""I have 3 male cats. Sounds fun, huh? They're very picky and/or lazy and have always found somewhere in the house they'd rather pee rather than going in their litter box. We recently moved to a new house with NEW carpet. They had a few choice locations where they would pee. Right outside the upstairs bathroom was one of them. Even though there was a perfectly clean litter box just inside the door.I didn't notice they were doing it there at first, until I started noticing these little off white foam-like \""balls\"". I have no idea what they are, we never got those at the last house we lived in. But I'm guessing something to do with bacteria growth. It looked like some sort of disgusting science experiment.I tried everything. Scrubbing, soaking with vinegar, etc. Then I (silly me) bought a small bottle of this stuff from the pet store. It was not enough.Eventually I ordered more from amazon. I poured an entire gallon onto that whole corner (probably about  9 sq feet), let it sit then used several towels to dry it by just laying the towel on the wet spots and standing on them. I worked on it for about an hour. Then I let it air dry for several days.When I got down in there, I could still smell it a little bit so I ordered another gallon and unloaded it.Here's the thing. If you don't drench it, it's not going to get to the carpet padding and the floor beneath and your cats will keep peeing there. I did the whole towel and drying routine again. Then once I was sure it was mostly dry, I put random stuff in that corner to keep them away for a few weeks.They've stayed away from it for at least 2 months now and I'm hoping it stays that way!""",Great for cats who have picked a spot in your house to pee.,5
3093,Cape Cod Lady,"this is really handy.  I don't have to bend over the tub anymore, just put in the kitchen sink and use the spray hose.  Saves my back!  and my dog isn't scared too.  I think he likes the rubber padding inside.  the tethers work well too, gives me an extra hand.  I don't have to keep emptying the tub when it gets full, just leave the in tub plug slightly open. the shipping box was a little flimsy and somewhat smashed, shipping tape was coming off.  so glad the tub wasn't damaged or lost.",so glad the tub wasn't damaged or lost,5
3094,Debra Peacock,"I have used several other brands, and these Superpads 22 X 23 inch pet training pads work the best!  Worth Buying",Superpads are super,5
3095,D. Muya,"I bought this after looking for a healthy snack for my dogs for quite a while, and being impressed by the great Amazon reviews.I simply hereby proclaim, these are the tastiest dog treats I've ever had.  I make it a point to taste a little bit of everything I feed my dogs; with the exception that a little bit of this turned into a whole cookie.My dogs love them too.",Delicious!,5
3096,Mitchell Kaundart,"&#34;Those people&#34; being the type to care too much about what their pets eat...I always reorder this.  My dog seems to have issues with eating strange things, she'll throw up, overpoop, swell....  She likes this and it seems to make her coat softer, smoother and shinier.  But I also feed her Merrick dry food.The can is very large so I usually give her around 1/7 a day.","""I've become one of \""those people\""""",5
3097,"""Homer \""consumer\""""","My dog will eat, chew, and destroy anything. Regardless of how tough, the Kongs last 10 minutes, the Tuff toys are good for an hour. This toy is tough to destroy, but she doesn't like it. And, it's not because it can't be destroyed. She'll chew a rubber ball, a bone, a dish, or even a piece of plastic. For some reason, this is low on the hit list. Go figure...","My crazy chewing dog thinks it's ok, not great",3
3098,"""Pippa \""PhilL\""""","It is a joy to walk and jog with the system. Yet, our dog is only 33 pounds. It is a heavy leash.  I wish the leash could be lighter and thinner.  It would be excellent for big and heavy dogs.",really works yet is a bit heavy,4
3099,Brock Rumer,"This enzymatic cleaner is one of the few things that truly work against cat urine. This isn't an apply-and-wipe products, be sure to leave it on long enough for it to work.",Destroyed,4
3100,Summer Ficarrotta,"Kitties love it. Nice and cheap. What more could one want? Lasts about a month, but I have 2 energetically scratching kitties.",My kitties love it,5
3101,Priya86,"My cat has not let this thing out of her sight since she got it! Normally if a toy rolls under the couch or behind the dresser it stays there until I fish it out. I didn't even think she'd fit underneath the china cabinet but when this toy got batted underneath it she chased it down! She loves to bat this little mouse around the house and she carries it from room to room with her! All in all, best $1 I've ever spent on a cat toy!",Kitten LOVES this!,5
3102,"""HPD202 \""L. Natelborg\""""",good product and nice price.  last quite a while.  It is very effective for treating Ich infestations. Stays in your quarantine tank long after your Ich is cleared up.,great for Ich,5
3103,Chris St Pierre,"I was quite surprised at how much the dogs love this more than the cats. We squirt it onto their dry food and the two poodle mixes will eat everything in the bowls. With their hair types I do not think it would ever get soft and silky as a dog I petted that was eating salmon oil, but it has made a difference without doubt.I have used other products from this company and they always work well. I try to get organic when I can afford it in products but this company at least bridges the gap with a quality all natural product.",My Dogs Love this Stuff,5
3104,teqmus76,This prong collar is my first and I use it to train my dog.  It is a little flimsy butit works just fine.  I will probably buy another that is more strong and durable.,training gear,3
3105,Sherry's Crimped,Great product. I liked my two so much and had no problem with them that I bought two more for my granddaughter. Makes it nice when you want to run both a day and night bulb. I use one of mine with a dimmer on the night side so I can adjust the heat. On the other I use it with a small red bulb so I can see my thumbnail frog in the dark but don't want heat. Several situation you can use it for.,Zoo Med Lab Repti Day Night Timer,5
3106,Jeremy Storly,"""When I first started keeping goldfish, I mysteriously lost several fish.  I know now I was making all kinds of mistakes common to amateurs.  One mistake I made was to assume that all water treatments that claimed to make tap water safe would do the trick.  After several of my kiddos died, I asked for help from the owner of my local pet store.  This is not a Petco or a Petsmart, but a real mom-and-pop place.  The owners really care about their animals.The store owner told me that years ago when he was first starting out, his fish kept dying.  He had a water sample tested independently, and the tester advised him that our local tap water was the second worst water sample he had ever tested.  The pet store owner advised me to use Amquel Plus along with NovAqua.  Since I have been using these products, I have lost no fish.  Since moving to a different place (one with better water quality, I am happy to report), I have continued to use these products as they have been perfectly effective and reliable.  During the move, in fact, my fantails became extremely stressed and began to show signs of \""popeye.\""  I gave them an extra dose of the NovAqua along with a wee bit of aquarium salt, and their condition cleared up quickly.Take it from me: this product really works!""",Effective and reliable,5
3107,Carrie Beth,I have a larger version of this for my dog but I just got a new puppy so needed a smaller one. This one came with a matching leash which was nice. As I said I already have a larger version for my dog will continue to buy this harness. It works great & they have never gotten out of them.,Came with a matching leash,5
3108,Tazrox,it works great but seems to work a bit better on my short haired dog and much cheaper than vet flea tabs. i will continue to buy,flea away,5
3109,"""S. Ellis \""mystery lover\""""",MY CATS LOVE THIS.  THE TINY CAT FITS JUST RIGHT BUT THE LARGE FEMALE LIKES TO CUDDLE UP IN IT EVEN THOUGH SHE'S IN THE SHAPE OF A CORKSCREW WHEN SHE CURLS UP!,NEW STYLE CAT REST,5
3110,K. Armenta,"They are made very well and are stainless steel so they won't rust. They are very long and sharp so be careful when using them, they deliver nice clean and presice cuts to all my underwater plants. I love them and would recommend them to anyone looking for underwater trimming scissors.",great underwater trimming scissors,5
3111,NiciBLAM,"I have yet to witness my cat playing with these, but I know he does because I have to pull them out from behind the furniture in the morning. This is a good toy to keep the kitty busy at night-time.",Quiet night-time toy,5
3112,Rachel,"""I ordered the Petmate Fresh Flow, having owned one in the past that my cats liked but I thought was a pain to clean. I was surprised when I opened the package to find a box labled \""aspen pet cool flow.\"" It was an awful lavender color, but otherwise looked the same. Thought about returning it right away because I was angry it was a different fountain, but my cat was sick and I really wanted it to work out. It worked fine when I plugged it in but after a couple hours, a loud buzzing sound started and never stopped. I tried adding water just in case I didn't have enough but to no avail. Unplugged it, dumped all the water out, started all over-same buzzing noise. My cats wouldn't touch it with that noise going on.I really think Amazon needs to change the product description and picture to match what they actually send you. According to other reviewers, the product has been \""updated\"" but it's now a different color and doesn't work the same-if I had known it was different, I would never have risked ordering it.""",NOT what is shown above,1
3113,Robbie W,Very cute and our littlest Chihuahuas enjoy them too!!  They are easy to use and go on quickly.  The only thing I would suggest to help make them one step more comfortable for any dog....  Would be to add a 'tail' hole.  I'm going to do just that by using the button hole maker on my sewing machine.  I'll let you know how that works out.  Thank you!!,TOO CUTE!!,5
3114,"""godfreygirl143 \""Shirley\""""","""I have an 11 lb mini schnauzer/shih tzu mix and she had a smaller version of this one for a long time.  She finally outgrew it and I just got her the larger one....she loves this one too.  It will be better for her....she was beginning to chew up the bone part on the smaller one.  She knows these by our name....her \""bone chew\"" and I can always get this out if she gets bored and it will keep her busy for a while.  When I ask her \""do you want your bone chew\"", she gets her happy tail going.  That's all it takes for me to be pleased with a product (as long as it's safe).  She prefers the cornstarch refill disks rather than the rawhide and I'm glad for that.  I think it's better for her.  But this is a good toy/chew to keep your dog busy.  I would only get the smaller one if your dog/puppy is under 10 pounds....they can begin chewing the plastic bone and they CAN get pieces off of it.  It's not the toys fault....it's sharp teeth.  I recommend this one.""",My do loves this!!,5
3115,Rachel Romano,"Our dog, a 10 year old bichon frise, goes wild when he sees these coming, so the flavor must be pretty great; he is not a huge fan of dry dog treats usually.  After his recent difficulties with a teeth cleaning at the vet, I resolved not to have him go through that again, so it is a good thing to have the extra dental shield ingredient that protects teeth from tartar build up. There are also a lot of vitamins in the biscuits. The recommended feeding is 2 biscuits twice a day, which I think is way too much. This would be too filling and cause the dog to not eat enough of its dog food. If 4 biscuits per day are needed in order for the dental benefits to be realized, that is not good. Overall, I would use these biscuits several times a week to possibly give the dental benefits, but not as often as recommended.  :)",Our dog is crazy about these,4
3116,kris hopper,perfect for any tank!  it is easy to read and esay to place in the tank.  it isalso very inexpensive.,perfect,5
3117,micheledollman,"I had an Alaskan malamute that would drive me crazy with his barking.  As soon as I was able to make contact with his skin, this collar could do its job.  I do not believe it ever trained him.  I ended up giving this dog to someone that could let him run free and craigslisting this product.  It works by basically delivering a shock to the dog (which seemed quite painful) whenever they tried to use their vocal cords.  I was just hoping that it would fix him to where I could leave the collar off for extended periods of time, and it did not.",Works as described,3
3118,reviewer,"this is a very sturdy construction.  The ladder connections to the enclosures don't work and just become loose, but it does not affect the rest of the structure.  My cats just skip the stairs and jump from level to level.  They sleep on the top shelves every night.  One of my cats always play with the hanging white mouse before she goes to bed.  They don't use the enclosures as much except for hiding.  Great value and my cats won't live without them.",my cats love this,5
3119,"""W. Dietrich \""WD\""""","Every once in awhile I need a break from my dogs.  Just a few minutes of my own where they are not wanting attention, barking or wanting to play.  When I need that break I give them a Texas Toothpick.  It takes my Scheperkie about 20 minutes to finish one and my mini aussie about 7 minutes.  They love the treats and both dogs will take the toothpick to a designated treat spot and nothing will distrub them during the time they have the treat.  For example if the doorbell rings they dont even look up, they love the toothpicks that much.The price on amazon is about 5 dollars cheaper than what i was paying at the dog store near my house.",These are my go to treats for my dogs,5
3120,Shellie Richter,"I've always gotten this stuff from my vet and also enjoy the version with MSM in it. My dog doesn't currently have any issues, but I want to do all I can to make sure she doesn't. This is a great price for this and shipping was fast. I admit I'm partial to the MSM version now, but I would definitely buy this again and have bought it many times for my other dogs in the past.",Love this stuff!,5
3121,"""C. Hamilton \""Latsyrc728\""""","""I like that this dog food has beef chunks and vegetables in it. I know some people are upset about the soy, but I don't see it as an issue with my chihuahua \""Tequila\"". Tequila is very picky about his dog food and does not eat hard brown dog food for some reason. With this dog food being multi-colored and having beef pieces I was hoping he would eat all of it.Tequila perked up the second I opened the bag. You could tell that he loved the smell. I gave him one of the beef chunks and he immediately devoured it. I filled his bowl with the food and he excitedly ran over to it and started eating. When I walked into the kitchen later, there were hard brown chunks of food placed everywhere throughout the room. Dang dog! He did eat everything else in the bowl. So, he likes it better than a lot of other dog foods. As far as I know, there is not a dog food on the market that he will eat all of....so it gets four paws up from him. I would buy this food for my pup again.""","My Dog Loves The Beef, The Brown Hard Pieces Not So Much",5
3122,Kyle J. Cherry,"This treat tote is just the right size for most trainers.  It is very well contructed and easy to access to get to the treats in the tote.  This is important, as one tries to reward the dog as soon as possible after the positive behavior.  This is the second one I have used.  My first disappeared in a move.  If I lose this one I will buy another.",Just what most trainers need,5
3123,Auntie J,"Obviously these work for a lot of people so it's probably a good product.  But they did not fix my problem at all so my 1-star rating reflects that.  I have two spayed female cats:  2 1/2 yr old sisters raised from 2 weeks old (abandoned under my porch by a feral cat).  One started spraying the drapes.  She's a sweet quiet cat, not dominant, and the sisters get along fine.  They have free access to the outside all day; are kept in at night.  I put two diffusers in my 1340 sf house.  I didn't see any change in behavior and if anything, the spraying increased.  It really increased when I started getting after my cat for doing it (speaking sharply to her when I caught her at it - I'd never hit her).  Yeah, yeah, yeah.  I KNOW you're not supposed to do that.  I do love my kitties but I've always been a dog person - now I get it.  I do think I discovered the problem though.  I had rearranged the guest room where the second food bowl was.  This was the bowl where the spraying cat often ate.  She ate from the other bowl in another room too so I didn't think it was a biggie.  But obviously I don't know cats (I'm learning!).  I returned the food bowl to its spot and added a second, larger litter box too.  No spraying since then and my cat seems very very content.  She's back to sleeping w/us at night and is more affectionate.",Didn't work for me,1
3124,C. Wollin,"We've been using this product now for a few weeks, and my cat has not been happy.  I doused his daily serving of food with the recommended dosage, and it sat for two days, untouched.  We had to add more fresh kibble on top and he was able delicately skim that off, leaving the Perio-support laced food in the bowl.  Finally, we dumped it out and started over with a smaller amount.  He finally gave in and at some, but it's apparent that he doesn't like it.  We're working up to the recommended dosage and hoping that it works for his rotten kitty breath.  I'll update after he's tried it for a while.On another note, my dog doesn't even seem to notice the Perio Support.  It does seem to be helping his breath a little too.","My cat went on a hunger strike, my dog doesn't mind it at all.",4
3125,Kelly Austin,"I have a black lab that LOVES water - ocean, lakes, ponds, puddles, swamps...if it is wet, she is in!  Because of this she was CONSTANTLY getting ear infections that caused her to shake her head LOUD like 20x a day (and night).  I tried about 5 different types of ear drops that seemed to do nothing but make her hate me.  They all said I would see improvement in a few weeks, applying 1 to 3 times a day with some, but I never did.With this, I have given her the drops only once a week for 2 weeks and already she has TOTALLY CEASED the head shaking and itching!  LOVE this stuff!",FINALLY clean ears!,5
3126,Peggy Drake,My cat didn't like this cuz of the strong minty flavor. I tasted it to see what the deal was cuz it's salmon flavored & sheloves fish flavors. I mostly tasted the mint & just a little of the fish.,My cat didn't like this,2
3127,terri329,I use this daily on my two dogs' food and they have clean teeth and breath.  My vet suggested it and we've used it ever since.,Easy to use,5
3128,dana smith,My new puppy has really enjoyed his teething rings.  They last for a long-long time which is nice as there are only 6 in the pack!,Great for teething puppies,4
3129,Amazon Customer,These are kinda stinky but the price is really good.. the ones in pet stores are usually stinky too except they cost more so i thought id give it a try. My dog ended up loving them so no regrets with this purchase.,Great product,4
3130,"""aosbo001 \""aosbo001\""""","This is a gentle and pleasant smelling dog ear cleaner. I have used it for years and it really helped with my dog's ear infection. I remember about 10 years ago, this product was prescribed to me by a vet for my dog. My dog's ears cleared up and I did not use it for a long time, until this recent ear infection a few years ago. I still kept the empty prescription bottle from 10 years ago because I liked the product. I kept the empty bottle because I moved out of state and I wanted to remember this product in case my dog developed another ear infection. Although the product no longer requires a prescription, it is definitely the same prescription grade product as it was back then.This product is very effective and does not sting or burn my dog's ears. It is a good product that I decided to always have on hand with my dog's bath products, so my last purchase was just for maintaining his ear cleanliness. This product will make you and your furry family member very happy!",Good product!,5
3131,Scott,I have been using this product for over two years to maintain the pH in two aquariums.  It is reliable and maintains a neutral pH as advertised.  Works best if mixed into new water in a jug or bucket prior to adding to your tank for a water change.  Highly recommend!,Very Helpful in Maintaining pH!,5
3132,ozgur,"i choices it cos my cat loves it , when ever i reach the bag, my cats run at me. i am not sure how healthy , but def cats like it.",it works how it is,5
3133,majormusiclover,"""Our Jack Russel gets crazy excited over nearly everything that goes on around the house.He gets so stressed and nervous with company he can't stop shaking and has been known to snap at folks for no reason.He's a pretty high strung dog, so I'm happy to say these chews seem to calm him down some.Since his behavior has improved over the past couple weeks, I expect we'll keep giving him these chews for a while.And I appreciate that this product is produced from natural ingredients.I feel the instructions lack clarity. The feeding directions say  for X pounds give X amount \""daily\"".But on the other hand the instructions say to give the chews \""during\"" stressful situations.I went with the \""daily\"" part.""",Calming Aid,5
3134,"""John Salazar \""I do NOT review books, stop ask...""",I bought this heater as an upgrade to a smaller one. It worked fine for the first thirty days but then one day while feeding I noticed that all the fish were hiding in a corner. I felt the water and it was freezing! I took the heater out played with the thermostat and it powered back up so I did not think much about it.Unfortunately that was the first of many times when the heater just decides to shut off. Today it happened again probably the 5th time since I bought it 60 days ago.Today I unplugged it messed with the dial and once again it powered up.I'm going to contact the manufacturer and see what they say will post their response when I get one.,Very Unreliable,1
3135,Gem,"perfect in most ways except color.  Indian red is PINK.  (good thing kitty is a girl) otherwise, kitty is adjusting to it fine, has yet to crawl inside, but enjoys sleeping on the top!  cute, good idea for cats.",kitty sleeping bag,4
3136,Rebecca Roztocil,"I purchased this litter box hoping to put an end to the peeing over the side our largest cat was doing.  He has been through a series of UTIs, and after getting the issue under control with diet, he began standing to pee which caused a mess every day around the litter boxes and such a stench!  After trying a different kind of box, with pellets and absorbent pads which the cats would not even get into, I tried this litter box.  It seems that he has more room and is not getting as close to the side while he pees, so it is not 'overshooting' the edge.  We scoop the litter box twice a day, and it seems that the one box is sufficient for all three cats as long as it is kept scooped.  It has been a great investment!",Perfect size for 3 Cats!,5
3137,"""Alfie's Pal \""Bichon Mom\""""","This tool makes getting the shampoo worked into thick fur quite easy and seems to be enjoyed by the dogs. The design of the brush makes it easy to hold in slippery, sudsy conditions so I think it's a good purchase.",A Bath-Time Helper,5
3138,Elizabeth A. Miller,"My cats are crazy about this cat food.  I feed them both dry food and this, and they will come and get me to tell me it's time for the wet food!  I like that it comes to the house and I never run out.  The only reason I took one star off is that sometimes a can is badly dented, perhaps in the shipping process (?).  These are the only flavors both cats agree on.  Makes my life a bit easier.",Cat stamp of approval,4
3139,J. C. Hudder,"I was nervous ordering a crate online but this is a perfect crate. First off- it got here in just a couple of days which was much sooner than expected. It was very easy to put together and it has a removable floor board incase of any accidents. My puppy was very small when we brought her home- she weighed a lb, and now she weighs 5 lbs and it's been perfect for her. She loves this crate, and it was fine for her when she was little and she's grown into it and still comfortable in it. It was a great buy.",Perfect crate,5
3140,Donna,"Arrived safe and what a nice tank, it took awhile to set up couldn't get the filter even but once done it is really quite lovely. I have not added fish yet letting it run for a few days but can't wait to add the fish and watch them!  Others said something about clips to attach the tank to the column but I did not get any clips but it sits fine, hopefully they are not missing and the tank will be ok.  Otherwise really glad I decided on this one.Go for it you won't be sorry. Just remember it will be harder to maintain this because go the small opening in the top.",Nice tank,4
3141,R. Harrison,"My vet recommended these C.E.T. products, and I found them to be much more affordable that treats bought at a local pet store.C.E.T. cannot be found in the stores. I keep ordering these form my dog, she loves all of the C.E.T. products!I am please with results on the lower amount of tarter on her teeth and fresher breath!",Healthy snacks for my pet,5
3142,Amazon Customer,"This is the brand I feed my Akita, and he does well with it. However, this particular flavor doesn't seem to be his favorite. In fact, my cats don't care for this flavor in the cat food either. Your pets may feel differently. :)","Great food, dog wasn't thrilled with the flavor",4
3143,MJratesU,"""I'll rate it only 3 stars. This is why... I got these treats for my dysplastic Lab mix puppy (not severe, and thought these might help) AND my 10 year old GSD mix, who is moderately arthritic.NEITHER dog liked the treats. The puppy took the treat, fiddled it around in his mouth a bit, then spit it out and stared at it. The old dog sniffed the treat, but refused to touch it. She sniffed it and her head shook and a pure look of \""disgust\"" went on her face and she walked off.When I opened the bag, this horrible medicinal smell came out, and honestly... the treats even LOOK like medicine. Brown and boring. I think the beneficial supplements in these treats repulse some dogs or something. I have no idea.I was able to convince the puppy to eat the \""treat\"" but the old dog would NOT eat it. I tried to hide it in some sandwich meat, no go. Tried to use some cheese, no go. So, this treat won't be able to help the old dog as she won't touch it, which automatically knocks down the treats rating.The rating will go up if this seems to help my puppy, but the taste of them is in question because neither of my dogs like it. The Lab mix puppy is very greedy (as are all Labs/Lab mixes) so he finally ate it. I'm not sure how people are saying their dogs love these treats, neither of my dogs were fond of them....August 29th. Treats are now gone. Nigredo (the puppy) picked at them each and every day. Jade, the dog that they were truly for wouldn't touch them, absolutely hated them. Could never get her to eat even one. See no improvement in the puppy, but as it's dysplasia... didn't expect much. Reviews goes down to 2 stars. Didn't help me at all!""",For now...,2
3144,wrighton,"This ball is big, so is the maze and the hole that the treats fall out of, so you have to put a very large treat in it that will challenge your dog. I finally found some good options that wouldn't affect his sensitive stomach. Throw a big chunk of apple in it, and trap it well back into the maze. Your dog will be working on it for hours. Just an FYI, there are grooves on the inside skin of the rubber ball to keep the maze in place, but they don't work well and the maze does move around inside the ball. That doesn't bother me, I think it adds to the challenge.",mixed feelings,4
3145,Sandra,I purchased the medium after reading the reviews suggesting that the sizes ran large. It was way too small for my Boxer and also rather thin. I might have kept it anyways if the size was right but ending up sending back.,Pet Bed,3
3146,CGScammell,"""I picked this dog food knowing it has predominantly corn in it. Ground yellow corn, chicken by-product, corn gluten, wheat flour are the four main ingredients.  Sugar is also one of the ingredients and that explains why the flies came right to this food as soon as I poured it into my dogs' food bucket.  As a fly attractant this product works as great as Bud Light beer.My dogs don't even care for it.  I poured some of this \""Beneful\"" next to their Taste of the Wild Lamb kibble and they seem to prefer the Lamb kibble over their corn junk food.  My dogs just aren't used to eating junk food.And to top it all off, during my daily back yard scoop poop ordeal, I had to remove more than usual piles of soft, yellow turds.  This food is clearly not good for dogs.I don't even know why this is called \""Beneful.\""  Beneful to whom?  Purina, perhaps?See my photograph under \""customer images.\""""",A great fly attractant,2
3147,"""Katie \""me myself and I\""""","My 15 pound Westie and my 30 pound King Charles love these seats. I adjusted the height, easily done, to give each dog a clear view out the window.  The securing devices that came with the seats was not adequate for the smaller dog so I changed them.  One hooks the dogs to a clamp on the seat and to the dogs harness.  DO NOT USE THIS OR ANY OTHER DEVICE WITH A COLLAR&#8230;ONE MUST USE A HARNESS.  They cannot jump out or fall out in case of a sudden stop but still no collars, only a harness.  The seat is too small for the King Charles to curl up in so would not recommend it it for a long trip for a dog this size but for trips around town it is perfectI recommend it and would buy it again if the need arose.",Great product,5
3148,Amazon Customer,"Loving Pets makes great products right here in the USA (New Jersey to be more specific) and our 5 dogs love them all.  These do not disappoint.  Long lasting and evidently quite tasty (I did not try them myself but take my dogs' work...er actions...as evidence), these are the first choice every time in our house.",Made in the USA and the Dogs LOVE them,5
3149,"""SpaceGuy 85 \""buba\""""","These pads are very thin, and, if the pet wets a small area, ours leaked all the way through to the pad holder.  Our pets are 3.5lbs, and each one has their own pad holder.  I would look around a bit to see if there is a better product.  This one was not a good fit for us.",Just OK,1
3150,Grace,"According to my Chihuahua, this product is great :) She has an infatuation for squeaking plush toes and these were just perfect for her. Unfortunately, my Chihuahua eventually destroys every single squeaky I've ever gotten for her, but these are inexpensive so I don't mind buying them continually.","I love it, and so does my dog",5
3151,Faye L. Bowring,"Although I have other snap on comb sets that were included with other clippers, I am glad I ordered the Andis Snap-On Combs and have used them with the No. 10 detachable blade.  I use snap on combs a lot when I groom our Lhasa and also use the Andis No. 10,7,5, and 3-3/4 detachable blades too.  The snap-on set was packaged very well, arrived in great condition, and within promised delivery time.",Great combo to use with the Andis Detachable Blades,5
3152,Aj,"Installation was easy, only thing I needed was a longer blade for the jigsaw and it took about ten minutes.  Fit is good and it works perfectly.Function was better than expected.  I had to mount it about 5 inches from the bottom of the door which forces my bigger dog to go lower and my dachshund to jump.  But they both took to it almost immediately without issue.","Worked for our two dogs, Dachshund and Terrier",5
